Number,x1,y1,z1,x,y,z
227.0,397.3,397.75,124.42,400.0,400.0,170.0
228.0,398.06,347.48,160.46,400.0,350.0,170.0
229.0,396.91,299.76,164.68,400.0,300.0,170.0
230.0,397.23,250.07,168.04,400.0,250.0,170.0
231.0,397.15,201.74,171.92,400.0,200.0,170.0
232.0,398.51,148.84,167.2,400.0,150.0,170.0
233.0,400.95,103.52,172.06,400.0,100.0,170.0
234.0,402.29,48.63,170.33,400.0,50.0,170.0
235.0,454.16,51.29,170.51,450.0,50.0,170.0
236.0,449.71,99.37,170.81,450.0,100.0,170.0
237.0,453.2,148.64,168.01,450.0,150.0,170.0
238.0,454.24,197.41,171.71,450.0,200.0,170.0
239.0,452.17,248.74,169.69,450.0,250.0,170.0
240.0,454.34,299.73,168.41,450.0,300.0,170.0
241.0,452.02,351.38,166.99,450.0,350.0,170.0
242.0,447.79,404.73,140.65,450.0,400.0,170.0
243.0,447.62,450.97,124.48,450.0,450.0,170.0
244.0,49.41,52.38,131.41,50.0,50.0,200.0
245.0,52.69,99.18,85.14,50.0,100.0,200.0
246.0,50.49,146.26,145.99,50.0,150.0,200.0
247.0,52.35,198.02,179.51,50.0,200.0,200.0
248.0,50.76,247.5,171.67,50.0,250.0,200.0
249.0,50.25,299.34,165.7,50.0,300.0,200.0
250.0,51.42,350.95,161.47,50.0,350.0,200.0
251.0,51.28,401.19,168.01,50.0,400.0,200.0
252.0,54.36,452.4,162.5,50.0,450.0,200.0
253.0,103.47,453.42,161.49,100.0,450.0,200.0
254.0,99.68,406.16,162.96,100.0,400.0,200.0
255.0,102.89,361.78,146.83,100.0,350.0,200.0
256.0,98.29,308.7,166.73,100.0,300.0,200.0
257.0,99.94,258.6,176.27,100.0,250.0,200.0
258.0,94.87,206.73,178.05,100.0,200.0,200.0
259.0,94.67,152.56,188.73,100.0,150.0,200.0
260.0,94.54,102.88,199.15,100.0,100.0,200.0
261.0,89.6,55.29,126.22,100.0,50.0,200.0
262.0,143.56,50.06,191.51,150.0,50.0,200.0
263.0,143.21,101.22,123.26,150.0,100.0,200.0
264.0,143.68,151.44,189.37,150.0,150.0,200.0
265.0,143.96,206.09,113.03,150.0,200.0,200.0
266.0,144.84,252.11,170.57,150.0,250.0,200.0
267.0,148.35,304.82,164.69,150.0,300.0,200.0
268.0,146.18,355.62,170.21,150.0,350.0,200.0
269.0,148.18,404.24,171.05,150.0,400.0,200.0
270.0,147.37,453.84,169.52,150.0,450.0,200.0
271.0,197.31,453.85,172.18,200.0,450.0,200.0
272.0,197.34,403.54,170.2,200.0,400.0,200.0
273.0,198.15,353.92,157.32,200.0,350.0,200.0
274.0,197.07,301.54,167.69,200.0,300.0,200.0
275.0,199.12,251.6,164.55,200.0,250.0,200.0
276.0,196.8,199.41,116.58,200.0,200.0,200.0
277.0,201.37,149.31,172.92,200.0,150.0,200.0
278.0,199.55,94.69,187.55,200.0,100.0,200.0
279.0,200.3,40.75,196.2,200.0,50.0,200.0
280.0,247.09,46.98,194.34,250.0,50.0,200.0
281.0,249.62,93.11,178.36,250.0,100.0,200.0
282.0,247.73,145.57,111.98,250.0,150.0,200.0
283.0,246.83,201.81,176.76,250.0,200.0,200.0
284.0,256.04,250.36,183.24,250.0,250.0,200.0
285.0,255.47,302.02,113.01,250.0,300.0,200.0
286.0,253.31,347.39,172.65,250.0,350.0,200.0
287.0,253.65,393.68,166.88,250.0,400.0,200.0
288.0,255.6,446.83,174.61,250.0,450.0,200.0
289.0,301.87,444.86,167.39,300.0,450.0,200.0
290.0,300.62,396.78,178.84,300.0,400.0,200.0
291.0,302.52,343.94,170.46,300.0,350.0,200.0
292.0,302.03,300.13,116.44,300.0,300.0,200.0
293.0,302.94,253.67,112.72,300.0,250.0,200.0
294.0,306.7,203.58,172.4,300.0,200.0,200.0
295.0,300.32,151.94,110.36,300.0,150.0,200.0
296.0,303.99,102.14,136.36,300.0,100.0,200.0
297.0,307.69,46.3,188.29,300.0,50.0,200.0
298.0,363.19,50.04,162.94,350.0,50.0,200.0
299.0,357.41,103.29,170.68,350.0,100.0,200.0
300.0,355.85,152.22,138.74,350.0,150.0,200.0
301.0,354.12,202.03,112.63,350.0,200.0,200.0
302.0,353.84,250.83,167.08,350.0,250.0,200.0
303.0,352.96,298.22,172.6,350.0,300.0,200.0
304.0,349.47,347.09,119.66,350.0,350.0,200.0
305.0,351.57,399.71,174.04,350.0,400.0,200.0
306.0,353.86,451.96,161.45,350.0,450.0,200.0
307.0,401.95,446.6,125.65,400.0,450.0,200.0
308.0,401.86,399.64,186.95,400.0,400.0,200.0
309.0,399.76,350.54,126.74,400.0,350.0,200.0
310.0,401.62,303.22,175.29,400.0,300.0,200.0
311.0,401.86,256.63,178.86,400.0,250.0,200.0
312.0,402.65,205.43,168.28,400.0,200.0,200.0
313.0,407.35,151.71,172.11,400.0,150.0,200.0
314.0,411.18,104.81,171.31,400.0,100.0,200.0
315.0,404.74,50.03,171.7,400.0,50.0,200.0
316.0,454.7,56.11,169.12,450.0,50.0,200.0
317.0,452.01,103.12,164.05,450.0,100.0,200.0
318.0,456.0,154.01,165.33,450.0,150.0,200.0
319.0,455.79,206.62,167.54,450.0,200.0,200.0
320.0,455.06,254.82,170.54,450.0,250.0,200.0
321.0,451.07,305.9,165.08,450.0,300.0,200.0
322.0,448.96,351.41,176.85,450.0,350.0,200.0
323.0,448.04,400.02,122.29,450.0,400.0,200.0
324.0,449.06,451.31,130.14,450.0,450.0,200.0
